household_key,BASKET_ID,PROMO_KEY,label,qid,day_t,feat_hist_size,feat_overlap_cnt,feat_jaccard,feat_overlap_ratio,feat_min_recency,feat_mean_recency,feat_seen_products,overlap_decay_h7,overlap_decay_h14,overlap_decay_h30,feat_user_dept_aff,feat_user_brand_aff,feat_num_promo_products,feat_num_promo_departments,feat_num_promo_brands,promo_offer_ct,promo_pos_ct,promo_unique_users,feat_promo_offer_ct_log1p,feat_promo_pos_ct_log1p,feat_promo_unique_users_log1p,feat_promo_pos_rate,feat_promo_pos_rate_smooth,feat_dayofweek,feat_is_weekend,DEPARTMENT_CHEF SHOPPE,DEPARTMENT_COSMETICS,DEPARTMENT_COUP/STR & MFG,DEPARTMENT_DELI,DEPARTMENT_DRUG GM,DEPARTMENT_FLORAL,DEPARTMENT_FROZEN GROCERY,DEPARTMENT_GARDEN CENTER,DEPARTMENT_GROCERY,DEPARTMENT_MEAT,DEPARTMENT_MEAT-PCKGD,DEPARTMENT_MISC SALES TRAN,DEPARTMENT_MISC. TRANS.,DEPARTMENT_NUTRITION,DEPARTMENT_PASTRY,DEPARTMENT_PHARMACY SUPPLY,DEPARTMENT_PHOTO,DEPARTMENT_PRODUCE,DEPARTMENT_RX,DEPARTMENT_SALAD BAR,DEPARTMENT_SEAFOOD,DEPARTMENT_SEAFOOD-PCKGD,DEPARTMENT_TRAVEL & LEISUR,DEPARTMENT_UNK,BRAND_National,BRAND_Private,BRAND_UNK,seen_in_1d,seen_in_3d,seen_in_7d,short_overlap_7d
1,40666800522,10000085476|18,1,1_40666800522,597,129,15,0.003737852,0.11627907,0.0,23.9,10,2.527088,5.055791,8.400497,312,359,3899,7,3,213.0,13.0,148.0,5.365976015021851,2.639057329615259,5.003946305945459,0.06103286384976526,0.05694019328566861,2,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0
1,40666800522,54200029176|18,1,1_40666800522,597,129,1,0.007352941,0.007751938,9999.0,9999.0,0,0.0035379832,0.059480947,0.26794335,244,318,8,2,2,206.0,11.0,148.0,5.332718793265369,2.4849066497880004,5.003946305945459,0.05339805825242718,0.050684651695823604,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0
1,40666800522,52800051098|18,0,1_40666800522,597,129,0,0.0,0.0,9999.0,9999.0,0,0.0,0.0,0.0,244,318,21,2,2,200.0,5.0,143.0,5.303304908059076,1.791759469228055,4.969813299576001,0.025,0.027901083336523372,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0
1,40666800522,10000089246|18,0,1_40666800522,597,129,0,0.0,0.0,9999.0,9999.0,0,0.0,0.0,0.0,244,41,6,2,2,195.0,2.0,148.0,5.278114659230518,1.0986122886681096,5.003946305945459,0.010256410256410256,0.01622559524135038,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
1,40666800522,54060060076|18,0,1_40666800522,597,129,0,0.0,0.0,9999.0,9999.0,0,0.0,0.0,0.0,244,318,16,2,2,198.0,14.0,146.0,5.293304824724492,2.70805020110221,4.990432586778736,0.0707070707070707,0.0644164146537534,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0
1,40666800522,52260010055|18,0,1_40666800522,597,129,0,0.0,0.0,9999.0,9999.0,0,0.0,0.0,0.0,33,318,13,2,2,140.0,1.0,117.0,4.948759890378168,0.6931471805599453,4.770684624465665,0.007142857142857143,0.015659320179636015,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0
1,40666800522,52100054076|18,0,1_40666800522,597,129,0,0.0,0.0,9999.0,9999.0,0,0.0,0.0,0.0,244,318,6,2,2,69.0,1.0,56.0,4.248495242049359,0.6931471805599453,4.04305126783455,0.014492753623188406,0.025002275917065907,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0
1,40666800522,53760073676|18,0,1_40666800522,597,129,0,0.0,0.0,9999.0,9999.0,0,0.0,0.0,0.0,18,318,4,1,1,120.0,1.0,100.0,4.795790545596741,0.6931471805599453,4.61512051684126,0.008333333333333333,0.017501593141946135,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,40666800522,51011913593|18,0,1_40666800522,597,129,0,0.0,0.0,9999.0,9999.0,0,0.0,0.0,0.0,33,318,11,2,2,81.0,1.0,67.0,4.406719247264253,0.6931471805599453,4.219507705176107,0.012345679012345678,0.02271199110023544,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0
1,40666800522,52100023024|18,0,1_40666800522,597,129,0,0.0,0.0,9999.0,9999.0,0,0.0,0.0,0.0,244,318,15,2,2,202.0,17.0,146.0,5.313205979041787,2.8903717578961645,4.990432586778736,0.08415841584158416,0.07529869378623351,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0
